home_club_name,away_club_name,game_id,date,season,home_club_id,away_club_id,home_club_position,away_club_position,results,Difference value home et away,Ratio value home par away,home_team_value,away_team_value,LOG Ratio value home par away,difference classement,winrate_home 1 ans,winrate_away 1 ans,difference winrate home-away 1 ans,winrate_home 2 ans,winrate_away 2 ans,difference winrate home-away 2 ans,winrate_home 3 ans,winrate_away 3 ans,difference winrate home-away 3 ans,evolution difference winrate home-away entre 3 et 1 ans,winrate_confrontation_home 1 ans,winrate_confrontation_home 2 ans,winrate_confrontation_home 3 ans,pos_moy_home_1_ans,pos_moy_away_1_ans,difference classement moyen home-away 1 ans,pos_moy_home_2_ans,pos_moy_away_2_ans,difference classement moyen home-away 2 ans,pos_moy_home_3_ans,pos_moy_away_3_ans,difference classement moyen home-away 3 ans,evolution classement home 3 et 1 ans,evolution classement away 3 et 1 ans,evolution difference classement entre équipes entre 3 et 1 ans,nouveau club home 1 ans,nouveau club away 1 ans,nouveau club home 3 ans,nouveau club away 3 ans,diffbut_moy_home_1_ans,diffbut_moy_away_1_ans,difference de buts moyenne home-away 1 ans,diffbut_moy_home_2_ans,diffbut_moy_away_2_ans,difference de buts moyenne home-away 2 ans,diffbut_moy_home_3_ans,diffbut_moy_away_3_ans,difference de buts moyenne home-away 3 ans,evolution difference de buts home 3 et 1 ans,evolution difference de buts away 3 et 1 ans,evolution difference de buts entre équipes entre 3 et 1 ans,diffbut_moy_confrontation_1_ans,diffbut_moy_confrontation_2_ans,diffbut_moy_confrontation_3_ans
Valenciennes FC,Olympique de Marseille,2223861,2012-09-30,2012,1423,244,7.0,1.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,6.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Saint-Étienne,AS Nancy-Lorraine,2223862,2012-10-05,2012,618,1159,9.0,19.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-10.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC Bastia,ESTAC Troyes,2223863,2012-10-06,2012,595,1095,13.0,20.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-7.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football Club Lorient-Bretagne Sud,Olympique Lyonnais,2223864,2012-10-07,2012,1158,1041,4.0,3.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique Gymnaste Club Nice Côte d'Azur,SC Bastia,2223865,2012-09-29,2012,417,595,12.0,16.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,-4.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stade Rennais Football Club,Lille Olympique Sporting Club Lille Métropole,2223866,2012-09-28,2012,273,1082,14.0,15.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-1.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olympique Lyonnais,FC Girondins Bordeaux,2223867,2012-09-30,2012,1041,40,3.0,5.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,-2.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Nancy-Lorraine,Montpellier Hérault Sport Club,2223868,2012-09-29,2012,1159,969,19.0,13.0,-1.0,0.0,1.0,22000000.0,22000000.0,0.0,6.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paris Saint-Germain Football Club,FC Sochaux-Montbéliard,2223869,2012-09-29,2012,583,750,2.0,17.0,1.0,0.0,1.0,22000000.0,22000000.0,0.0,-15.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Saint-Étienne,Stade de Reims,2223870,2012-09-30,2012,618,1421,11.0,8.0,0.0,0.0,1.0,22000000.0,22000000.0,0.0,3.0,0.35,0.35,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.0,0.5,0.5,0.5,20.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
